timestamp,open,close,low,high,volume
2025-09-12T08:34:00+00:00,165.0500,165.1100,165.0500,165.1100,1320
2025-09-12T08:36:00+00:00,165.0600,165.0600,165.0600,165.0600,897
2025-09-12T08:37:00+00:00,165.1100,165.1800,165.1100,165.1800,1862
2025-09-12T08:38:00+00:00,165.2100,165.2100,165.2100,165.2700,1549
2025-09-12T08:39:00+00:00,165.1700,165.2000,165.1700,165.2000,783
2025-09-12T08:41:00+00:00,165.2600,165.2600,165.2600,165.2600,398
2025-09-12T08:42:00+00:00,165.2200,165.2200,165.2200,165.2200,264
2025-09-12T08:43:00+00:00,165.2000,165.2000,165.2000,165.2000,352
2025-09-12T08:45:00+00:00,165.3000,165.3000,165.3000,165.3000,1147
2025-09-12T08:46:00+00:00,165.3200,165.3200,165.3200,165.3200,620
2025-09-12T08:48:00+00:00,165.2200,165.2900,165.2200,165.2900,1296
2025-09-12T08:49:00+00:00,165.3000,165.3600,165.2900,165.3600,1002
2025-09-12T08:51:00+00:00,165.3000,165.2600,165.2600,165.3000,536
2025-09-12T08:53:00+00:00,165.2500,165.2500,165.2500,165.2500,421
2025-09-12T08:54:00+00:00,165.2700,165.2700,165.2700,165.2700,503
2025-09-12T08:57:00+00:00,165.2900,165.3000,165.2900,165.3000,885
2025-09-12T08:59:00+00:00,165.3000,165.3000,165.3000,165.3000,1244
2025-09-12T09:02:00+00:00,165.3000,165.3100,165.3000,165.3100,1231
2025-09-12T09:07:00+00:00,165.2800,165.2500,165.2500,165.2800,445
2025-09-12T09:08:00+00:00,165.2300,165.2100,165.2100,165.2300,928
2025-09-12T09:09:00+00:00,165.2300,165.2300,165.2300,165.2300,240
2025-09-12T09:13:00+00:00,165.3000,165.3000,165.3000,165.3000,265
2025-09-12T09:15:00+00:00,165.3700,165.2900,165.2900,165.3700,1531
2025-09-12T09:23:00+00:00,165.2100,165.2400,165.2000,165.2400,1234
2025-09-12T09:25:00+00:00,165.2500,165.2500,165.2500,165.2500,435
2025-09-12T09:31:00+00:00,165.2500,165.3100,165.2500,165.3200,1203
2025-09-12T09:34:00+00:00,165.2300,165.2400,165.2300,165.2400,1651
2025-09-12T09:35:00+00:00,165.2300,165.1600,165.1600,165.2300,1298
2025-09-12T09:38:00+00:00,165.2100,165.2100,165.2100,165.2100,420
2025-09-12T09:41:00+00:00,165.2300,165.1500,165.1500,165.2600,2325
2025-09-12T09:50:00+00:00,165.3200,165.3200,165.3200,165.3200,203
2025-09-12T09:53:00+00:00,165.3100,165.2500,165.2500,165.3100,1289
2025-09-12T09:55:00+00:00,165.2600,165.2600,165.2600,165.2600,644
2025-09-12T09:57:00+00:00,165.2400,165.2400,165.2400,165.2400,775
2025-09-12T10:00:00+00:00,165.2100,165.2100,165.2100,165.2100,393
2025-09-12T10:01:00+00:00,165.1700,165.1700,165.1700,165.1700,306
2025-09-12T10:02:00+00:00,165.1900,165.1900,165.1900,165.1900,521
2025-09-12T10:05:00+00:00,165.1200,165.1200,165.1200,165.1200,274
2025-09-12T10:06:00+00:00,165.1500,165.1500,165.1500,165.1500,215
2025-09-12T10:07:00+00:00,165.1100,165.1100,165.1100,165.1100,586
2025-09-12T10:14:00+00:00,165.0700,165.0700,165.0700,165.0700,436
2025-09-12T10:15:00+00:00,165.0300,165.0000,165.0000,165.0300,3815
2025-09-12T10:16:00+00:00,165.0000,165.0200,165.0000,165.0200,1442
2025-09-12T10:18:00+00:00,164.9600,164.9500,164.9400,164.9600,782
2025-09-12T10:19:00+00:00,165.0300,165.0400,165.0300,165.0400,1123
2025-09-12T10:20:00+00:00,164.9600,164.9600,164.9600,164.9600,366
2025-09-12T10:21:00+00:00,165.0100,165.0000,165.0000,165.0100,922
2025-09-12T10:22:00+00:00,164.9600,164.9600,164.9600,164.9600,316
2025-09-12T10:23:00+00:00,164.9700,164.9500,164.9500,164.9700,714
2025-09-12T10:26:00+00:00,164.9900,164.9600,164.9600,164.9900,2269
2025-09-12T10:27:00+00:00,164.9300,164.9600,164.9300,164.9600,1274
2025-09-12T10:28:00+00:00,164.9300,164.9300,164.9300,164.9300,419
2025-09-12T10:29:00+00:00,164.9700,164.9700,164.9700,164.9700,1167
2025-09-12T10:30:00+00:00,164.9500,164.9500,164.9500,164.9500,563
2025-09-12T10:32:00+00:00,165.0700,165.0600,165.0600,165.0700,1435
2025-09-12T10:34:00+00:00,165.0300,165.0300,165.0300,165.0300,1380
2025-09-12T10:35:00+00:00,165.0200,165.0200,165.0200,165.0200,372
2025-09-12T10:37:00+00:00,165.0800,165.0800,165.0800,165.0800,426
2025-09-12T10:39:00+00:00,165.1200,165.0500,165.0500,165.1200,877
2025-09-12T10:40:00+00:00,165.0000,165.0000,165.0000,165.0300,1763
2025-09-12T10:41:00+00:00,165.0000,165.0000,165.0000,165.0000,496
2025-09-12T10:42:00+00:00,164.9700,164.9600,164.9600,164.9800,2139
2025-09-12T10:43:00+00:00,164.9600,164.9600,164.9600,164.9600,568
2025-09-12T10:44:00+00:00,165.0000,165.0000,164.9900,165.0300,4927
2025-09-12T10:46:00+00:00,165.0000,164.9500,164.9500,165.0000,2822
2025-09-12T10:49:00+00:00,164.9500,164.9500,164.9500,164.9500,597
2025-09-12T10:50:00+00:00,164.9700,164.9700,164.9700,164.9700,367
2025-09-12T10:54:00+00:00,164.9500,164.9000,164.9000,164.9500,2297
2025-09-12T10:56:00+00:00,164.9900,164.9900,164.9900,164.9900,1371
2025-09-12T10:57:00+00:00,164.9400,164.9300,164.9300,164.9400,2054
2025-09-12T11:00:00+00:00,164.9200,164.8700,164.8700,165.0000,6112
2025-09-12T11:01:00+00:00,164.8610,164.8000,164.7400,164.8610,5428
2025-09-12T11:06:00+00:00,164.8000,164.7700,164.7700,164.8000,728
2025-09-12T11:09:00+00:00,164.8000,164.7700,164.7700,164.8000,2756
2025-09-12T11:10:00+00:00,164.8000,164.8000,164.8000,164.8000,711
2025-09-12T11:11:00+00:00,164.7800,164.8100,164.7800,164.8100,1891
2025-09-12T11:16:00+00:00,164.8200,164.8200,164.8200,164.8200,352
2025-09-12T11:17:00+00:00,164.8000,164.8100,164.8000,164.8100,2147
2025-09-12T11:20:00+00:00,164.8300,164.8200,164.8200,164.8300,486
2025-09-12T11:21:00+00:00,164.8700,164.8900,164.8700,164.8900,771
2025-09-12T11:27:00+00:00,164.9000,164.9000,164.9000,164.9000,216
2025-09-12T11:28:00+00:00,164.9000,164.9000,164.9000,164.9000,735
2025-09-12T11:29:00+00:00,164.8900,164.9300,164.8900,164.9300,682
2025-09-12T11:32:00+00:00,164.8600,164.8600,164.8600,164.8600,517
2025-09-12T11:33:00+00:00,164.9000,164.9000,164.9000,164.9000,541
2025-09-12T11:37:00+00:00,164.9200,164.9100,164.9000,164.9200,1979
2025-09-12T11:39:00+00:00,164.8700,164.8700,164.8700,164.8900,1781
2025-09-12T11:40:00+00:00,164.8600,164.8600,164.8600,164.8600,386
2025-09-12T11:45:00+00:00,164.8500,164.8300,164.8300,164.8500,528
2025-09-12T11:46:00+00:00,164.8500,164.8500,164.8500,164.8800,1102
2025-09-12T11:47:00+00:00,164.8800,164.8500,164.8500,164.8800,515
2025-09-12T11:50:00+00:00,164.9500,164.9100,164.9100,164.9500,1407
2025-09-12T11:54:00+00:00,164.8900,164.9000,164.8900,164.9000,605
2025-09-12T11:55:00+00:00,164.9100,164.9100,164.9100,164.9700,3989
2025-09-12T11:57:00+00:00,164.9300,164.9900,164.9300,164.9900,2114
2025-09-12T11:58:00+00:00,165.0200,165.0200,165.0200,165.0200,296
2025-09-12T11:59:00+00:00,165.0500,165.0500,165.0500,165.0500,267
2025-09-12T12:00:00+00:00,164.8100,165.2900,164.7503,165.5500,86282
2025-09-12T12:01:00+00:00,165.5300,165.0401,165.0401,165.5300,3265
2025-09-12T12:02:00+00:00,165.0999,165.0001,165.0001,165.0999,2504
2025-09-12T12:03:00+00:00,165.0598,164.9600,164.9212,165.0599,5518
2025-09-12T12:04:00+00:00,164.9000,164.9200,164.9000,164.9200,2903
2025-09-12T12:05:00+00:00,164.9200,164.8900,164.8500,164.9391,7642
2025-09-12T12:06:00+00:00,164.9100,164.8700,164.8500,164.9100,3512
2025-09-12T12:07:00+00:00,164.8900,164.8100,164.8100,164.8900,2160
2025-09-12T12:08:00+00:00,164.8111,164.8100,164.8100,164.8800,5769
2025-09-12T12:09:00+00:00,164.8400,164.8900,164.8400,164.8900,2029
2025-09-12T12:10:00+00:00,164.9200,164.9300,164.9200,164.9300,1636
2025-09-12T12:11:00+00:00,165.0000,164.9500,164.9200,165.0000,2658
2025-09-12T12:12:00+00:00,164.9797,165.0000,164.9797,165.0000,2209
2025-09-12T12:14:00+00:00,165.0300,165.0300,165.0300,165.0300,316
2025-09-12T12:15:00+00:00,165.0900,165.1272,165.0900,165.1272,1587
2025-09-12T12:16:00+00:00,165.1900,165.1401,165.1400,165.1900,1406
2025-09-12T12:17:00+00:00,165.1100,165.1400,165.1000,165.1800,3262
2025-09-12T12:18:00+00:00,165.1400,165.0700,165.0700,165.1400,1825
2025-09-12T12:19:00+00:00,165.0700,165.0699,165.0699,165.0700,608
2025-09-12T12:20:00+00:00,165.0697,164.9200,164.8800,165.0700,3147
2025-09-12T12:21:00+00:00,164.9900,164.9800,164.9800,164.9900,880
2025-09-12T12:23:00+00:00,164.9500,164.9201,164.9200,164.9600,7157
2025-09-12T12:24:00+00:00,164.9700,164.9800,164.9500,164.9800,1470
2025-09-12T12:25:00+00:00,164.9247,164.9247,164.9247,164.9247,915
2025-09-12T12:26:00+00:00,164.9800,164.9200,164.9200,164.9900,1410
2025-09-12T12:27:00+00:00,164.9200,164.9516,164.9200,165.0000,1334
2025-09-12T12:28:00+00:00,165.0300,164.9200,164.9200,165.0300,2380
2025-09-12T12:30:00+00:00,165.0697,165.0697,165.0697,165.0697,1093
2025-09-12T12:31:00+00:00,164.9200,164.9200,164.9200,164.9500,2895
2025-09-12T12:32:00+00:00,164.9200,164.8801,164.8800,164.9200,2420
2025-09-12T12:33:00+00:00,164.9200,164.8900,164.8800,164.9600,5160
2025-09-12T12:35:00+00:00,164.9350,164.9308,164.9308,165.0000,4287
2025-09-12T12:36:00+00:00,164.9886,164.9700,164.9000,164.9886,3950
2025-09-12T12:37:00+00:00,164.9900,164.9600,164.9470,164.9900,1890
2025-09-12T12:38:00+00:00,164.9700,164.9699,164.9300,164.9700,1392
2025-09-12T12:39:00+00:00,164.9000,164.9005,164.9000,164.9500,1321
2025-09-12T12:40:00+00:00,164.9000,164.9300,164.9000,164.9300,1530
2025-09-12T12:41:00+00:00,164.9000,164.9440,164.9000,164.9440,546
2025-09-12T12:42:00+00:00,164.9500,164.9000,164.9000,164.9500,1383
2025-09-12T12:43:00+00:00,164.9000,164.9500,164.9000,164.9500,1112
2025-09-12T12:44:00+00:00,164.9700,164.9900,164.9700,164.9900,604
2025-09-12T12:45:00+00:00,164.9500,164.9887,164.9400,164.9900,2070
2025-09-12T12:46:00+00:00,164.9500,164.9500,164.9500,164.9500,601
2025-09-12T12:47:00+00:00,164.9900,165.1000,164.9900,165.1000,3264
2025-09-12T12:48:00+00:00,165.0883,165.1000,165.0500,165.1000,1426
2025-09-12T12:50:00+00:00,165.0700,165.0500,165.0500,165.0700,1063
2025-09-12T12:51:00+00:00,165.0800,165.0600,165.0394,165.0900,2403
2025-09-12T12:52:00+00:00,165.0800,165.0900,165.0501,165.0900,1707
2025-09-12T12:53:00+00:00,165.1000,165.1490,165.1000,165.1490,1948
2025-09-12T12:54:00+00:00,165.1400,165.0800,165.0800,165.1400,1338
2025-09-12T12:55:00+00:00,165.1000,165.1000,165.1000,165.1000,515
2025-09-12T12:56:00+00:00,165.0703,165.1400,165.0703,165.1400,691
2025-09-12T12:57:00+00:00,165.0918,165.0918,165.0918,165.0918,372
2025-09-12T12:58:00+00:00,165.1000,165.1100,165.0566,165.1200,2078
2025-09-12T12:59:00+00:00,165.1300,165.1300,165.1300,165.1300,776
2025-09-12T13:00:00+00:00,165.1284,165.0534,165.0534,165.1284,4225
2025-09-12T13:01:00+00:00,165.1200,165.1400,165.1200,165.1400,1232
2025-09-12T13:02:00+00:00,165.1400,165.0900,165.0900,165.1400,1232
2025-09-12T13:03:00+00:00,165.1100,165.1100,165.1100,165.1100,410
2025-09-12T13:04:00+00:00,165.1000,165.1200,165.0700,165.1200,2823
2025-09-12T13:05:00+00:00,165.1500,165.1600,165.1500,165.1989,4463
2025-09-12T13:06:00+00:00,165.1600,165.2100,165.1600,165.2100,1758
2025-09-12T13:07:00+00:00,165.2400,165.2400,165.1600,165.2400,5144
2025-09-12T13:08:00+00:00,165.2100,165.2000,165.2000,165.2599,2990
2025-09-12T13:09:00+00:00,165.2048,165.2410,165.2048,165.2410,2170
2025-09-12T13:10:00+00:00,165.2900,165.3000,165.2900,165.3000,2526
2025-09-12T13:11:00+00:00,165.2510,165.2001,165.2000,165.2510,4199
2025-09-12T13:12:00+00:00,165.2298,165.2189,165.1669,165.2400,7058
2025-09-12T13:13:00+00:00,165.2400,165.1800,165.1800,165.2400,1175
2025-09-12T13:14:00+00:00,165.1899,165.1800,165.1000,165.1899,3072
2025-09-12T13:15:00+00:00,165.1700,165.1600,165.1300,165.1700,3073
2025-09-12T13:16:00+00:00,165.1800,165.1800,165.1800,165.1800,1101
2025-09-12T13:17:00+00:00,165.1000,165.0901,165.0901,165.1000,1993
2025-09-12T13:18:00+00:00,165.1500,165.0800,165.0700,165.1500,2437
2025-09-12T13:19:00+00:00,165.1100,165.1500,165.1000,165.1500,1991
2025-09-12T13:20:00+00:00,165.1200,165.1200,165.1200,165.1499,1952
2025-09-12T13:21:00+00:00,165.1500,165.1942,165.1500,165.1942,3552
2025-09-12T13:22:00+00:00,165.1600,165.0902,165.0902,165.1600,2549
2025-09-12T13:23:00+00:00,165.0900,165.1001,165.0800,165.1100,2320
2025-09-12T13:24:00+00:00,165.0800,165.0800,165.0800,165.0800,708
2025-09-12T13:25:00+00:00,165.1500,165.3600,165.1500,165.3900,13003
2025-09-12T13:26:00+00:00,165.3100,165.3586,165.2400,165.4000,4596
2025-09-12T13:27:00+00:00,165.3000,165.3300,165.2000,165.3300,4895
2025-09-12T13:28:00+00:00,165.1900,165.3000,165.1900,165.4000,10368
2025-09-12T13:29:00+00:00,165.3500,165.3400,165.3200,165.3800,5205
2025-09-12T13:30:00+00:00,165.3500,165.6807,165.2145,166.2299,916853
2025-09-12T13:31:00+00:00,165.6722,165.0000,164.2600,165.8300,609558
2025-09-12T13:32:00+00:00,164.9600,164.0600,164.0500,165.0407,331471
2025-09-12T13:33:00+00:00,164.0500,164.6820,164.0100,164.9700,183285
2025-09-12T13:34:00+00:00,164.6928,164.6600,164.6400,164.9800,146488
2025-09-12T13:35:00+00:00,164.6600,164.4400,164.1500,164.6600,256461
2025-09-12T13:36:00+00:00,164.4000,164.3200,164.0700,164.5750,171197
2025-09-12T13:37:00+00:00,164.3600,164.4700,164.3300,164.8781,243653
2025-09-12T13:38:00+00:00,164.4776,164.2200,164.0800,164.6135,180725
2025-09-12T13:39:00+00:00,164.2200,164.7001,164.1900,164.7150,145795
2025-09-12T13:40:00+00:00,164.7073,164.9254,164.5354,165.0000,188349
2025-09-12T13:41:00+00:00,164.9428,165.1000,164.7711,165.1600,244497
2025-09-12T13:42:00+00:00,165.0820,165.2699,164.9650,165.2700,171846
2025-09-12T13:43:00+00:00,165.2650,164.9250,164.8100,165.2900,160451
2025-09-12T13:44:00+00:00,164.8900,165.3000,164.8700,165.4000,164798
2025-09-12T13:45:00+00:00,165.3100,165.9700,165.3100,165.9700,255026
2025-09-12T13:46:00+00:00,165.9532,165.6400,165.5200,166.0110,213307
2025-09-12T13:47:00+00:00,165.6590,165.4500,165.3100,165.8200,182613
2025-09-12T13:48:00+00:00,165.4350,165.3100,165.2600,165.6450,164584
2025-09-12T13:49:00+00:00,165.3600,165.6000,165.3300,165.8600,193241
2025-09-12T13:50:00+00:00,165.6000,165.9000,165.3300,165.9800,187571
2025-09-12T13:51:00+00:00,165.9200,165.4050,165.3190,165.9800,162931
2025-09-12T13:52:00+00:00,165.4050,165.4400,165.2519,165.6000,142369
2025-09-12T13:53:00+00:00,165.4125,165.6200,165.3800,165.7700,123647
2025-09-12T13:54:00+00:00,165.6339,165.5800,165.5450,165.7700,126509
2025-09-12T13:55:00+00:00,165.5600,165.5850,165.5050,165.7999,113265
2025-09-12T13:56:00+00:00,165.5700,165.3132,165.3000,165.6700,128870
2025-09-12T13:57:00+00:00,165.2900,165.2700,165.2101,165.4000,133828
2025-09-12T13:58:00+00:00,165.2800,164.9100,164.9100,165.3130,187608
2025-09-12T13:59:00+00:00,164.9205,165.3583,164.9101,165.4000,152870
2025-09-12T14:00:00+00:00,165.3200,165.5001,165.0400,165.6900,183359
2025-09-12T14:01:00+00:00,165.5250,165.5900,165.2700,165.7000,163958
2025-09-12T14:02:00+00:00,165.5900,165.7500,165.4500,165.7600,140900
2025-09-12T14:03:00+00:00,165.7500,165.7700,165.6626,165.8693,215098
2025-09-12T14:04:00+00:00,165.7500,165.7900,165.6500,165.8800,96620
2025-09-12T14:05:00+00:00,165.7900,165.7800,165.6500,165.8900,163912
2025-09-12T14:06:00+00:00,165.7800,165.5590,165.5065,165.9700,132957
2025-09-12T14:07:00+00:00,165.5000,165.8280,165.4900,165.9200,115643
2025-09-12T14:08:00+00:00,165.8100,165.8500,165.6600,165.9300,98403
2025-09-12T14:09:00+00:00,165.8200,165.8555,165.7500,165.9400,108004
2025-09-12T14:10:00+00:00,165.8513,165.9300,165.7148,166.0400,201373
2025-09-12T14:11:00+00:00,165.9500,166.0900,165.9500,166.2300,191252
2025-09-12T14:12:00+00:00,166.0900,166.0050,165.8500,166.1700,148721
2025-09-12T14:13:00+00:00,165.9970,166.2500,165.9774,166.3000,172997
2025-09-12T14:14:00+00:00,166.2500,166.3100,166.2000,166.5600,326326
2025-09-12T14:15:00+00:00,166.3500,166.2150,166.1200,166.4700,163111
2025-09-12T14:16:00+00:00,166.2116,166.3449,166.2116,166.5300,199936
2025-09-12T14:17:00+00:00,166.3300,166.7500,166.2100,166.8500,298859
2025-09-12T14:18:00+00:00,166.7799,166.6800,166.6384,166.8395,190622
2025-09-12T14:19:00+00:00,166.6750,166.7474,166.5100,166.7700,127176
2025-09-12T14:20:00+00:00,166.7560,166.9650,166.6800,167.1900,327918
2025-09-12T14:21:00+00:00,166.9700,167.3100,166.9657,167.4700,269373
2025-09-12T14:22:00+00:00,167.3000,167.2300,167.0100,167.3198,234438
2025-09-12T14:23:00+00:00,167.2301,167.3650,167.1300,167.3650,137532
2025-09-12T14:24:00+00:00,167.3650,167.5650,167.3500,167.7800,364408
2025-09-12T14:25:00+00:00,167.5500,167.2121,167.2121,167.6600,224670
2025-09-12T14:26:00+00:00,167.2150,167.4250,167.2150,167.5199,186159
2025-09-12T14:27:00+00:00,167.4001,166.7400,166.7200,167.4100,220893
2025-09-12T14:28:00+00:00,166.7300,166.8700,166.7200,166.9600,149901
2025-09-12T14:29:00+00:00,166.8700,167.0291,166.8170,167.1155,139324
2025-09-12T14:30:00+00:00,167.0400,167.1750,166.9000,167.2727,121699
2025-09-12T14:31:00+00:00,167.1700,167.1000,167.0500,167.3600,137982
2025-09-12T14:32:00+00:00,167.0800,166.7273,166.6800,167.1250,208145
2025-09-12T14:33:00+00:00,166.7200,166.8500,166.4500,166.8700,233405
2025-09-12T14:34:00+00:00,166.8480,166.6300,166.6000,167.0100,110185
2025-09-12T14:35:00+00:00,166.6400,166.8614,166.6201,166.9200,70650
2025-09-12T14:36:00+00:00,166.8600,166.9200,166.7592,166.9300,80685
2025-09-12T14:37:00+00:00,166.9196,166.6373,166.6002,166.9196,85369
2025-09-12T14:38:00+00:00,166.6373,166.7399,166.6101,166.7936,71695
2025-09-12T14:39:00+00:00,166.7450,166.8284,166.7400,166.9399,61421
2025-09-12T14:40:00+00:00,166.8399,166.7550,166.7000,167.0200,112784
2025-09-12T14:41:00+00:00,166.7600,167.2895,166.7100,167.3599,235813
2025-09-12T14:42:00+00:00,167.2900,167.1565,167.1126,167.3400,84223
2025-09-12T14:43:00+00:00,167.1600,167.0550,167.0100,167.1900,79521
2025-09-12T14:44:00+00:00,167.0500,167.1120,167.0400,167.2300,101974
2025-09-12T14:45:00+00:00,167.1274,167.3846,167.1100,167.4400,197194
2025-09-12T14:46:00+00:00,167.3899,167.4301,167.3170,167.6000,227914
2025-09-12T14:47:00+00:00,167.4599,167.2750,167.1401,167.4662,110331
2025-09-12T14:48:00+00:00,167.2310,167.1700,167.0900,167.2600,108948
2025-09-12T14:49:00+00:00,167.1768,167.4400,167.1500,167.4999,178290
2025-09-12T14:50:00+00:00,167.4350,167.4800,167.3000,167.5699,79645
2025-09-12T14:51:00+00:00,167.4800,167.7950,167.4686,167.8600,206093
2025-09-12T14:52:00+00:00,167.7900,167.8050,167.7900,167.9700,219759
2025-09-12T14:53:00+00:00,167.8050,167.7875,167.6700,167.8400,182898
2025-09-12T14:54:00+00:00,167.7700,168.1500,167.6701,168.1600,434424
2025-09-12T14:55:00+00:00,168.1500,167.6350,167.5950,168.1600,175562
