Date,Open,High,Low,Close
2024-12-02,67.44,67.88,65.96,66.39
2024-12-03,66.41,71.37,66.15,70.96
2024-12-04,71.13,71.18,67.28,69.85
2024-12-05,70.11,72.98,69.89,71.87
2024-12-06,72.95,76.82,72.28,76.34
2024-12-09,80.58,80.91,71.05,72.46
2024-12-10,71.99,75.56,70.73,70.89
2024-12-11,72.98,73.00,68.07,72.51
2024-12-12,72.30,75.38,71.90,73.20
2024-12-13,73.49,76.10,72.45,76.07
2024-12-16,75.06,77.82,71.16,75.75
2024-12-17,73.28,75.32,71.70,74.39
2024-12-18,74.30,77.60,70.27,71.51
2024-12-19,73.99,76.59,73.37,74.21
2024-12-20,72.64,80.66,71.50,80.55
2024-12-23,80.65,82.02,77.41,80.69
2024-12-24,81.09,84.80,81.00,82.38
2024-12-26,83.16,83.49,81.30,82.14
2024-12-27,81.42,82.00,77.93,79.08
2024-12-30,77.04,79.24,76.11,77.18
2024-12-31,77.58,77.98,73.65,75.63
2025-01-02,76.20,76.53,72.42,75.19
2025-01-03,75.39,79.98,75.19,79.89
2025-01-06,78.69,80.06,74.61,75.92
2025-01-07,75.20,75.39,69.75,69.99
2025-01-08,68.12,69.53,66.51,68.23
2025-01-10,66.01,68.20,65.04,67.26
2025-01-13,64.29,65.68,63.40,64.98
2025-01-14,67.18,68.23,65.19,65.91
2025-01-15,68.55,68.85,67.08,68.14
2025-01-16,69.08,71.43,68.36,69.24
2025-01-17,70.90,72.34,69.95,71.77
2025-01-21,73.24,73.64,70.60,73.07
2025-01-22,74.50,77.16,73.80,76.87
2025-01-23,76.04,79.00,75.84,78.98
2025-01-24,79.05,82.24,78.44,78.98
2025-01-27,74.07,76.72,72.67,75.44
2025-01-28,75.54,80.74,74.04,80.23
2025-01-29,79.95,80.82,77.81,79.76
2025-01-30,80.02,81.83,79.38,81.22
2025-01-31,81.00,85.22,80.87,82.49
2025-02-03,80.12,84.25,78.47,83.74
2025-02-04,102.80,106.91,100.51,103.83
2025-02-05,101.78,103.57,99.32,101.36
2025-02-06,101.09,111.54,100.26,111.28
2025-02-07,111.66,116.30,110.45,110.85
2025-02-10,112.03,116.76,108.72,116.65
2025-02-11,116.50,118.66,112.10,112.62
2025-02-12,110.29,117.59,110.00,117.39
2025-02-13,117.31,118.39,115.15,117.91
2025-02-14,117.90,120.67,116.80,119.16
2025-02-18,120.94,125.00,118.43,124.62
2025-02-19,123.86,125.41,108.56,112.06
2025-02-20,102.91,107.40,95.80,106.27
2025-02-21,107.68,109.07,100.00,101.35
2025-02-24,95.88,99.01,89.30,90.68
2025-02-25,90.65,91.70,85.25,87.84
2025-02-26,89.16,91.69,87.59,89.31
2025-02-27,91.91,93.62,84.17,84.77
2025-02-28,79.98,85.18,78.58,84.92
2025-03-03,88.55,90.48,82.53,83.42
2025-03-04,80.16,88.50,79.30,84.40
2025-03-05,86.35,90.30,82.50,90.13
2025-03-06,87.50,88.34,80.01,80.46
2025-03-07,80.03,85.16,79.15,84.91
2025-03-10,82.00,82.69,74.57,76.38
2025-03-11,75.79,80.75,75.53,78.05
2025-03-12,83.48,84.55,79.86,83.65
2025-03-13,82.85,83.74,78.32,79.62
2025-03-14,82.97,87.27,82.16,86.24
2025-03-17,88.44,88.82,84.50,87.35
2025-03-18,85.78,86.17,81.80,83.89
2025-03-19,84.55,87.99,82.86,86.10
2025-03-20,85.54,89.80,85.12,87.39
2025-03-21,85.85,91.07,84.46,90.96
2025-03-24,93.40,97.39,92.28,96.75
2025-03-25,97.22,98.17,95.08,96.50
2025-03-26,96.29,97.30,90.82,92.28
2025-03-27,91.01,93.65,89.67,90.09
2025-03-28,89.34,89.38,84.10,85.85
2025-03-31,80.00,84.65,78.75,84.40
2025-04-01,83.89,85.28,81.82,84.68
2025-04-02,82.40,88.40,82.30,87.45
2025-04-03,81.25,85.68,81.01,83.60
2025-04-04,80.07,80.98,71.93,74.01
2025-04-07,66.65,81.80,66.12,77.84
2025-04-08,83.29,86.11,75.22,77.32
2025-04-09,78.19,93.33,77.27,92.01
2025-04-10,88.40,90.78,84.14,88.59
2025-04-11,87.98,89.55,85.47,88.55
2025-04-14,95.80,97.33,91.46,92.62
2025-04-15,93.53,98.99,93.05,98.40
2025-04-16,96.28,97.30,89.62,92.71
2025-04-17,94.71,95.11,92.27,93.78
2025-04-21,92.84,96.47,89.31,90.80
2025-04-22,93.01,96.34,91.35,93.99
2025-04-23,98.86,103.76,97.83,100.82
2025-04-24,101.53,108.00,100.91,107.78
2025-04-25,108.05,112.88,106.55,112.78
2025-04-28,113.78,114.86,108.87,114.65
2025-04-29,113.98,117.23,113.24,116.08
2025-04-30,111.61,118.78,110.54,118.44
2025-05-01,120.04,120.19,116.00,116.20
2025-05-02,118.66,124.42,118.63,124.28
2025-05-05,123.70,125.25,121.36,123.77
2025-05-06,112.71,113.91,105.32,108.86
2025-05-07,107.97,111.85,107.00,110.48
2025-05-08,112.28,120.38,112.07,119.15
2025-05-09,118.97,119.16,114.90,117.30
2025-05-12,120.78,120.93,115.01,118.46
2025-05-13,119.92,130.60,119.31,128.10
2025-05-14,129.01,133.49,127.56,130.18
2025-05-15,128.37,130.20,125.74,128.12
2025-05-16,129.23,130.33,126.76,129.52
2025-05-19,124.71,127.77,124.32,126.33
2025-05-20,127.22,128.20,124.65,125.59
2025-05-21,125.16,127.11,119.41,120.58
2025-05-22,121.95,126.33,121.38,122.29
2025-05-23,120.88,125.54,120.68,123.31
2025-05-27,126.82,127.88,120.88,123.39
2025-05-28,124.23,125.65,122.91,123.76
2025-05-29,125.35,126.47,121.53,122.32
2025-05-30,123.53,131.94,122.75,131.78
2025-06-02,131.43,134.48,128.86,132.04
2025-06-03,133.07,135.28,130.10,133.17
2025-06-04,132.80,132.95,125.58,130.01
2025-06-05,129.27,132.85,118.93,119.91
2025-06-06,123.73,128.13,121.92,127.72
2025-06-09,127.07,132.23,124.80,132.06
2025-06-10,131.02,134.07,129.41,132.81
2025-06-11,133.92,140.00,132.99,136.39
2025-06-12,136.40,137.10,134.63,135.19
2025-06-13,133.82,139.99,133.35,137.40
2025-06-16,140.03,144.86,139.81,141.41
2025-06-17,141.49,141.69,136.08,138.20
2025-06-18,139.04,140.36,137.49,139.96
2025-06-20,140.69,142.24,136.74,137.30
2025-06-23,138.90,142.15,135.96,139.92
2025-06-24,140.98,143.66,137.80,143.23
2025-06-25,144.49,147.67,141.53,142.90
2025-06-26,144.85,148.21,142.91,144.25
2025-06-27,144.87,144.97,130.54,130.74
2025-06-30,137.79,138.88,134.80,136.32
2025-07-01,135.27,136.32,128.51,130.68
2025-07-02,131.47,133.60,130.19,132.12
2025-07-03,134.36,135.62,132.51,134.36
2025-07-07,134.38,139.29,132.32,139.12
2025-07-08,138.77,139.85,135.79,139.71
2025-07-09,139.65,143.17,137.39,143.13
2025-07-10,143.31,145.16,139.53,142.50
2025-07-11,142.11,144.58,141.47,142.10
2025-07-14,142.72,149.57,142.22,149.15
2025-07-15,148.93,150.62,147.36,148.58
2025-07-16,149.30,151.51,147.67,150.91
2025-07-17,151.56,155.68,150.82,153.99
2025-07-18,154.86,154.92,151.90,153.52
2025-07-21,153.88,155.44,151.36,151.79
2025-07-22,150.85,151.79,145.06,149.07
2025-07-23,149.74,155.00,148.29,154.63
2025-07-24,153.98,155.63,152.57,154.86
2025-07-25,155.63,160.39,155.58,158.80
2025-07-28,159.88,160.28,153.04,157.88
2025-07-29,158.71,160.14,154.91,156.24
2025-07-30,157.37,159.38,156.56,158.61
2025-07-31,159.99,160.89,156.73,158.35
2025-08-01,155.05,158.19,151.06,154.27
2025-08-04,158.53,161.40,157.93,160.66
2025-08-05,171.81,176.33,169.22,173.27
2025-08-06,171.18,180.58,171.01,179.54
2025-08-07,181.01,184.48,178.17,182.20
2025-08-08,184.74,187.99,184.41,186.96
2025-08-11,186.47,187.18,181.92,182.68
2025-08-12,184.70,190.00,182.10,186.97
2025-08-13,189.00,189.46,183.59,184.37
2025-08-14,182.41,185.33,179.20,181.02
2025-08-15,179.73,180.00,173.38,177.17
2025-08-18,175.27,177.90,171.39,174.03
2025-08-19,171.36,172.30,156.90,157.75
2025-08-20,152.30,156.46,142.34,156.01
2025-08-21,157.17,157.97,153.81,156.18
2025-08-22,155.32,163.20,151.77,158.74
2025-08-25,156.10,158.59,149.37,157.17
2025-08-26,155.39,162.13,154.57,160.87
2025-08-27,162.32,162.40,155.98,156.72
2025-08-28,157.63,158.23,152.55,158.12
2025-08-29,156.98,158.42,153.00,156.71
2025-09-02,151.20,158.39,150.28,157.09
2025-09-03,158.00,161.15,152.71,154.90
2025-09-04,154.87,157.04,153.16,156.14
2025-09-05,157.82,158.97,148.04,153.11
2025-09-08,154.91,158.30,154.84,156.10
2025-09-09,157.25,162.75,156.37,162.36
2025-09-10,166.00,169.00,163.44,166.74
2025-09-11,167.24,167.46,163.22,164.36
2025-09-12,165.35,171.53,164.01,171.43
2025-09-15,169.60,171.80,167.41,171.21
2025-09-16,171.04,171.31,168.96,170.26
2025-09-17,169.02,169.68,161.27,168.33
2025-09-18,170.27,178.80,169.39,176.97
2025-09-19,177.07,184.42,176.71,182.39
2025-09-22,180.88,182.25,178.29,179.33
2025-09-23,182.51,185.75,177.01,182.55
2025-09-24,183.91,184.85,177.12,179.56
2025-09-25,175.80,184.32,174.29,179.12
2025-09-26,179.05,180.12,174.91,177.57
2025-09-29,179.64,181.48,177.16,178.86
